pocket,O=S(=O)(c1ccc(O)cc1)c1ccc(OCc2ccccc2)cc1,Oc1ccc(Cc2ccc(O)cc2)cc1,CC(C)(c1ccc(O)c(-c2ccccc2)c1)c1ccc(O)c(-c2ccccc2)c1,Oc1ccc(Sc2ccc(O)cc2)cc1,C=CCOc1ccc(S(=O)(=O)c2ccc(O)cc2)cc1,Cc1ccc(S(=O)(=O)NC(=O)Nc2cccc(OS(=O)(=O)c3ccc(C)cc3)c2)cc1,CC(C)c1cc(C(C)(C)c2ccc(O)c(C(C)C)c2)ccc1O,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,Oc1ccc(C2(c3ccc(O)cc3)CCCCC2)cc1,Oc1ccc(SCCOCOCCSc2ccc(O)cc2)cc1,Cc1ccc(S(=O)(=O)NC(=O)Nc2ccc(Cc3ccc(NC(=O)NS(=O)(=O)c4ccc(C)cc4)cc3)cc2)cc1,CC(c1ccc(O)cc1)c1ccc(O)cc1,CC(c1ccccc1)(c1ccc(O)cc1)c1ccc(O)cc1,CC(C)(c1ccc(O)cc1)c1ccc(C(C)(C)c2ccc(O)cc2)cc1,CCC(C)(c1ccc(O)cc1)c1ccc(O)cc1,CC(C)(c1cc(Br)c(O)c(Br)c1)c1cc(Br)c(O)c(Br)c1,CC(C)(c1cc(Cl)c(O)c(Cl)c1)c1cc(Cl)c(O)c(Cl)c1,Cc1cc(C(C)(C)c2ccc(O)c(C)c2)ccc1O,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,O=S(=O)(c1ccc(O)cc1)c1ccc(O)cc1,O=C(OCc1ccccc1)c1ccc(O)cc1,Oc1ccc(C(c2ccc(O)cc2)(C(F)(F)F)C(F)(F)F)cc1,Oc1ccccc1Cc1ccccc1O,CC1(C)C(O)C(C)(C)C1O,COC(=O)C(c1ccc(O)cc1)c1ccc(O)cc1,Cc1cc(Cc2cc(C)c(O)c(C)c2)cc(C)c1O,O=S(=O)(c1ccc(O)cc1)c1ccccc1O,Cc1cc(C(C)(C)c2cc(C)c(O)c(C)c2)cc(C)c1O,CC(C)CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,C=CCc1cc(S(=O)(=O)c2ccc(O)c(CC=C)c2)ccc1O,CC(C)(c1ccc(OP(=O)(Oc2ccccc2)Oc2ccccc2)cc1)c1ccc(OP(=O)(Oc2ccccc2)Oc2ccccc2)cc1,CC(C)Oc1ccc(S(=O)(=O)c2ccc(O)cc2)cc1
ERalpha,0.1653,0.2490,0.2822,0.3518,0.4506,-0.0454,0.6232,0.3170,0.7340,0.1741,-0.0763,0.6381,0.6032,0.6518,0.6936,0.6409,0.6561,0.7249,0.6614,0.3633,0.5938,0.6409,0.0140,-0.0859,0.4801,0.3388,0.3628,0.7197,0.6771,0.2122,0.1030,0.4260
ERbeta,0.1638,0.3680,0.0750,0.4320,0.4024,-0.0688,0.3795,0.0601,0.5220,0.2164,-0.0649,0.4550,0.3831,0.3845,0.4611,0.4653,0.4607,0.5279,0.4677,0.3182,0.6756,0.5579,0.1708,-0.1141,0.4529,0.3964,0.3047,0.5002,0.4697,0.0962,0.0759,0.4115
ERRgamma,0.1852,0.3490,0.1632,0.4344,0.3485,-0.0973,0.5854,0.4093,0.8364,0.1615,-0.0608,0.8029,0.7743,0.6792,0.8028,0.4600,0.4655,0.7154,0.8047,0.4211,0.4896,0.6709,0.1401,0.0282,0.5203,0.2440,0.4028,0.5998,0.7912,0.2307,0.0570,0.3174
PPARgamma,0.1303,0.2965,0.1266,0.1690,0.2161,0.3323,0.2368,0.3554,0.3568,0.0182,0.1109,0.3623,0.3400,0.3473,0.3765,0.4155,0.3614,0.3339,0.3810,0.1491,0.2263,0.3886,0.2969,0.1347,0.2873,0.1038,0.1771,0.2581,0.3460,0.2660,0.1488,0.1622
AR,-0.0498,0.2917,0.0432,0.2430,-0.0014,0.0439,0.3177,0.1403,0.4979,0.0687,0.0302,0.4392,0.4816,0.3334,0.5024,0.3913,0.4733,0.5152,0.5055,0.1625,0.2182,0.4320,0.1166,-0.2474,0.3875,0.2882,0.1075,0.4650,0.5270,-0.0372,0.0451,0.0649
THRbeta,0.2905,0.0546,0.5099,0.2231,0.2390,0.2227,0.5980,0.2361,0.2696,0.1352,0.0770,0.2890,0.2665,0.4850,0.3121,0.4492,0.4623,0.3762,0.2923,0.3775,0.2777,0.3336,-0.1009,-0.1578,0.1245,0.2144,0.2384,0.4615,0.2651,0.2862,0.2102,0.3328
PR,0.0647,0.4303,-0.0595,0.3728,0.1165,-0.0613,0.2929,0.0538,0.5105,0.1724,-0.0373,0.4645,0.4855,0.3243,0.4884,0.3649,0.4439,0.4906,0.5108,0.2635,0.3515,0.4283,0.2503,-0.2372,0.4977,0.4267,0.1711,0.4367,0.5322,0.0061,-0.0020,0.1741
