receptor,BPA,BPS,TCBPA,BPF,BPAF,BPB,BPE,BPZ,BPC,BPAP,TBBPA
ERalpha,0.8440,0.4473,0.7460,0.4144,0.8186,0.8714,0.8314,0.8664,0.8835,0.7990,0.7420
ERbeta,0.6138,0.3882,0.5345,0.4988,0.6766,0.6162,0.6002,0.6414,0.6471,0.5427,0.5347
ERRgamma,0.8267,0.4351,0.4734,0.4105,0.6996,0.8206,0.8335,0.8189,0.7507,0.7984,0.4821
PPARgamma,0.5381,0.1664,0.4204,0.3946,0.5552,0.5127,0.5294,0.4774,0.4715,0.5123,0.4762
AR,0.5887,0.1364,0.4486,0.3796,0.5208,0.5884,0.5461,0.5708,0.5780,0.5626,0.3786
THRbeta,0.3707,0.4443,0.4949,0.1556,0.3936,0.3915,0.3810,0.3423,0.4343,0.3585,0.4827
PR,0.5523,0.2419,0.4579,0.3771,0.3968,0.5598,0.5059,0.5565,0.5408,0.5410,0.3528
