rank,percentile,smi,score
3103,84.491,CCOc1ccc(NC(=O)CSc2nc3cccnc3[nH]2)cc1,0.0124
3104,84.486,CN1CC[C@@H](CNc2nc(C3CC3)nc3c2CCC3)[C@@H]1c1cccnc1,0.0124
3105,84.481,COCC(O)CN1CCN(c2ccc(Cl)cc2[N+](=O)[O-])CC1,0.0123
3106,84.476,Cc1ccc(Cl)cc1NC(=O)N1CCC(c2ccn3ncc(C(=O)N4CCOCC4)c3c2)CC1,0.0123
3107,84.471,Cc1ccc(Cn2c(CNS(=O)(=O)c3ccc(F)c(Cl)c3)nc3cccnc32)cc1,0.0122
3108,84.466,O=C(Nc1cccc(F)c1)C1CCCN(c2nc3ccccc3nc2C(F)(F)F)C1,0.0122
3109,84.461,CCc1c(C(=O)N(C)CC(=O)NC2CC2)cnn1Cc1ccccc1,0.0121
3110,84.456,Cc1nc(-c2ccccc2)nc(N2CCN(S(=O)(=O)c3ccccc3)CC2)c1Cc1ccccc1,0.0121
3111,84.451,O=c1c2cn[nH]c2nc(SCc2nc(-c3cccc(C(F)(F)F)c3)no2)n1-c1ccccc1,0.0121
3112,84.446,NC(=O)c1csc(N2CCC(CO)(C[C@H]3CCCCO3)CC2)n1,0.0120
3113,84.441,C=CCN(CC=C)C(=O)CCc1ccc(OC)cc1,0.0120
3114,84.436,Cc1cc(OCC2CCN(CC3CCS(=O)(=O)CC3)CC2)ccn1,0.0119
3115,84.431,COc1ccc(C(=O)N2CCCC2)c(OC2CCN(C/C(C)=C/c3ccccc3)CC2)c1,0.0119
3116,84.426,CCc1ccccc1N(CC)C(=O)CCc1nc(-c2ccc(C)cc2)no1,0.0119
3117,84.421,CC[C@]1(O)CCC[C@H]2CN(C(=O)c3cc(O)ccc3N)C[C@H]21,0.0119
3118,84.416,Cc1ccc(OCC(O)Cn2nc(C(F)(F)F)c3cnccc32)c(C)c1,0.0118
3119,84.411,COc1ccccc1OCc1nc2ccccc2[nH]1,0.0118
3120,84.406,COc1cccc2c1OC[C@@H](C(=O)N1CCC3(CC1)OCCc1sccc13)C2,0.0116
3121,84.401,CN1CCC[C@@]2(CO)CCN(C(=O)c3ccc(-c4cnco4)cc3)C[C@H]12,0.0116
3122,84.396,COCC(=O)N1CCN(c2ccc(C#N)c(C(F)(F)F)c2)CC1,0.0116
3123,84.391,c1ccc(CO[C@H]2CCCN(Cc3nc4ccccc4[nH]3)C2)nc1,0.0116
3124,84.386,COC[C@H]1CCN(C2CCN(c3cccc(-c4ccc(C)cc4)c3)CC2)C1,0.0115
3125,84.381,Cc1cccc(NS(=O)(=O)c2cc(C(=O)NC3CCCC3)ccc2Cl)c1,0.0115
3126,84.376,CSc1ccc(CCNc2ncnc3c2nc2n3CCCC2)cc1,0.0115
3127,84.371,Cl.O=S(=O)(NC1CCNCC1)c1ccc(Br)cc1Cl,0.0114
3128,84.366,Cn1cc([C@H]2CN(CC3=Cc4ccccc4OC3)C[C@@H]2C(N)=O)cn1,0.0114
3129,84.361,CC(C(=O)O)N1C(=O)CSC1=O,0.0114
3130,84.356,C[n+]1cccc(/C=N/Nc2nc(Cl)c(C#N)c(Cl)c2Cl)c1.[Cl-],0.0113
3131,84.351,COc1ccc(CNC(=O)CC[C@H]2CCCN(CC3CCCCC3)C2)c(OC)c1,0.0112
3132,84.346,CCCN1CCN(C(=O)c2ccc(OC3CCN(S(C)(=O)=O)CC3)c(Cl)c2)CC1,0.0112
3133,84.341,CCOc1ccc(-n2ccc(=O)c(C(=O)Nc3nc4ccc(OC)cc4s3)n2)cc1,0.0111
3134,84.336,O=c1[nH]c(N2CCc3ccccc3C2)nc2c1CCN(Cc1ccccc1)CC2,0.0111
3135,84.331,COc1ccc(N2C(=O)C3C4C=CC(C4=C4CCCCC4)C3C2=O)c(OC)c1,0.0110
3136,84.326,FC(F)(F)Oc1cccc(-c2c[nH]cn2)c1,0.0110
3137,84.321,COc1ccc(N(CC(=O)N/N=C/c2ccc(OC3CSC3)cc2)S(=O)(=O)c2ccccc2)cc1,0.0110
3138,84.316,CCN1CCC(NC(=O)COc2ccc(C(C)(C)C)cc2)CC1,0.0110
3139,84.311,Cc1ccccc1-c1noc(CN2CC[C@H](Nc3ncccn3)[C@@H](O)C2)n1,0.0110
3140,84.306,FC(F)(F)c1cccc(N2CCN([C@H]3CCCN(Cc4c[nH]c5ccccc45)C3)CC2)c1,0.0109
3141,84.301,FC(F)Sc1nc(-c2ccccc2)c(-c2ccccc2)n1C(F)F,0.0109
3142,84.296,CCN(CC(=O)Nc1ccc(F)c(F)c1)Cc1nc2ccccc2c(=O)[nH]1,0.0109
3143,84.291,Cc1ccc(C(=O)N2CCC3(CC2)CN(CCn2ccnc2)CCO3)cc1,0.0109
3144,84.286,COCCn1cnnc1[C@H](C)NCc1sccc1C,0.0109
3145,84.281,CC(C)c1nn2c(=O)cc(COc3cccc(NC(=O)COc4ccccc4Cl)c3)nc2s1,0.0108
3146,84.276,Cc1nc(Cc2nnc(SCC(=O)Nc3ccccc3Cc3ccccc3)o2)cs1,0.0108
3147,84.271,Cc1cc(Br)c(S(=O)(=O)n2ccnc2)cc1Cl,0.0108
3148,84.266,COCCN1C(=O)c2ccccc2C(C(=O)Nc2nncs2)C12CCCC2,0.0108
3149,84.261,Cc1nc(-c2ccc(C(=O)NC3CCCC3)cc2)cs1,0.0107
3150,84.256,O=C(c1ccc(NC2CCN(C[C@H]3CCCO3)CC2)nc1)N1CCOCC1,0.0107
3151,84.251,Cc1ccc(-c2noc(CNS(=O)(=O)c3cc(Cl)ccc3Cl)n2)cc1,0.0106
3152,84.246,CCc1ccc(-c2cc3c(=O)[nH]nc(SCC(=O)NCc4ccc(OC)cc4)n3n2)cc1,0.0105
3153,84.241,COc1ccc(-n2nc(C)c(C(=O)NC[C@H]3CCCO3)c2C)cc1,0.0105
3154,84.236,O=C(CCC1CCCN(S(=O)(=O)c2ccccc2)C1)NCCc1ccccc1,0.0105
3155,84.231,COc1ccccc1-n1nc(C2CC2)nc1CCc1cc(Cl)no1,0.0105
3156,84.226,Cc1ccnc(C[C@H](C)N(C)Cc2cccc(Cn3cccn3)c2)c1,0.0105
3157,84.221,Cc1cc(CNC[C@]2(O)CCCN(CCCc3ccccc3)C2=O)on1,0.0105
3158,84.216,Cc1ccc(-c2csc3c(=O)n(Cc4cc(C)ccc4C)cnc23)cc1,0.0105
3159,84.211,COc1ccc(CCN2C(=O)N(C)C(=O)C23CCN(Cc2cc4ccccc4s2)CC3)cc1,0.0105
3160,84.206,OCC1CCCCN1Cc1c(F)cccc1F,0.0105
3161,84.201,CCc1c(C)nc2ncnn2c1Sc1ccc(NC(=O)Nc2cccc(C)c2C)cc1,0.0104
3162,84.196,CNc1nc(N)nc(OCC(F)(F)F)n1,0.0104
3163,84.191,Cc1cn2c(n1)C(CNS(=O)(=O)c1ccccc1O)CCC2,0.0104
3164,84.186,CCOC(=O)c1cc(-c2ccccc2)sc1NC(=O)COC,0.0104
3165,84.181,CCc1nn(C)c(Cl)c1CN1CCN(Cc2ccc(Cl)cc2)CC1,0.0103
3166,84.176,Cc1ccc(CN2CCN(/N=C\c3ccc(C(C)(C)C)cc3)CC2)cc1,0.0102
3167,84.171,CN(Cc1c[nH]nc1-c1ccc(F)cc1)c1cc(C2CC(N)C2)nc(N)n1,0.0102
3168,84.166,CCNc1cc(C)nc(N2CCN(c3ncnc4ncccc34)CC2)n1,0.0101
3169,84.161,CSCCC(=O)N1CCCN(C(=O)[C@@H]2CCCN2C(C)=O)CC1,0.0101
3170,84.156,COc1cc(C2NC(=S)NC(C)=C2C(=O)Nc2ccccn2)ccc1OCc1ccccc1,0.0101
3171,84.151,Cc1nocc1C(=O)N1CC(N2CC(F)(F)C[C@@H]2COCC2CC2)C1,0.0101
3172,84.146,O=C(Nc1ccc(N2C(=O)C3C4c5ccccc5C(c5ccccc54)C3C2=O)cc1Cl)c1ccc(Cl)cc1Cl,0.0100
3173,84.141,COCCNc1nc(-c2cccc(OC)c2)c2c(N)n(-c3cccc(C)c3)nc2n1,0.0100
3174,84.136,NC(=O)CNc1ncnc2c1Cc1ccccc1OC2,0.0100
3175,84.131,COc1ccc(CNC(=O)C2CCN(c3ncccc3-c3nc(-c4cccc(C)c4)no3)CC2)cc1,0.0099
3176,84.126,C=CC[C@]1(CO)CCCN(C(=O)c2ccc(F)c(Cl)c2)C1,0.0098
3177,84.121,CN1CCN(CCCNC(=O)C[C@H]2CCc3ccccc32)CC1,0.0097
3178,84.116,CCOc1ccc(C(=O)Nc2cccc(-c3nc4ccccc4s3)c2C)cc1[N+](=O)[O-],0.0097
3179,84.111,CN(C)C(=O)[C@@H]1CN(c2ccc(C#N)c(C(F)(F)F)c2)CCN1S(=O)(=O)Cc1ccccc1,0.0097
3180,84.106,Cc1ccc(-c2cc(C(=O)NCC(C)C)c3ccccc3n2)c(C)c1,0.0097
3181,84.101,COc1ccc(-c2ccc(OCCNS(=O)(=O)c3cccs3)nn2)cc1,0.0096
3182,84.096,COc1cc(S(=O)(=O)N2CC3CNCC3(CO)C2)c(C)cc1C,0.0096
3183,84.091,CCOC(=O)C1=C(C)N(C)C(=S)NC1c1ccc(OC(=O)c2ccccc2)c(OC)c1,0.0096
3184,84.086,Cc1ccc(C)c(CC(=O)N2C[C@@H](CN3CCOCC3)[C@@H](CO)C2)c1,0.0095
3185,84.081,COc1ccc(-n2nc(C(=O)NCCc3ccc(Cl)cc3)c3c4ccccc4n(C)c3c2=O)cc1Cl,0.0095
3186,84.076,CCOc1cc(C(=O)N2N=C(C)CC2(O)C(F)F)ccc1OC(F)F,0.0094
3187,84.071,C=CCNc1ncnc2c1cnn2-c1cccc(Cl)c1,0.0093
3188,84.066,CN1CCC[C@H](C(=O)N2CCCN(C(=O)[C@H]3CC[C@H](O)CC3)CC2)C1,0.0093
3189,84.061,CCn1cncc1CNC(=O)N(C)[C@H]1CCCc2ccccc21,0.0093
3190,84.056,CCOc1cccc(CS(=O)(=O)c2ccccc2F)n1,0.0092
3191,84.051,COCCCN1C[C@H](Cc2cnccn2)[C@@H](O)C1,0.0092
3192,84.046,O=C1N(Cc2ccc(F)cc2)CCN1C1CCN(S(=O)(=O)c2ccc(F)cc2)CC1,0.0092
3193,84.041,CCNc1cc(N2CCN(C(=O)c3ccccc3Br)CC2)nc(C)n1,0.0092
3194,84.036,Cc1cccn2c(CC(=O)NCCCN(C)c3ccccc3)cnc12,0.0092
3195,84.031,CC[C@H](O)Cn1nc(C2(c3ccccc3)CC2)nc1CCc1cnn(C)c1,0.0091
3196,84.026,CN(Cc1ccc2c(c1)OCO2)C(=O)CCn1nc(-c2cccs2)oc1=O,0.0091
3197,84.021,COc1cc(C=O)ccc1OCCOc1ccc([N+](=O)[O-])cc1Cl,0.0091
3198,84.016,Cc1ccc(-c2onc(C)c2C)cc1S(=O)(=O)NC1CCN(Cc2ccccc2)CC1,0.0091
3199,84.011,COc1ccc(CN(C)S(=O)(=O)Cc2ccccc2F)cc1,0.0091
3200,84.006,Cc1nnc(N2CCC(C(=O)NCCc3c[nH]c4ccccc34)CC2)c2nn(-c3ccccc3)c(C)c12,0.0090
3201,84.001,CCOC(=O)C1CCCN(Cc2sccc2C)C1,0.0090
3202,83.996,COCCCNC(=O)c1ccc(Cn2c(SCc3cccc(C)c3)nc3ccncc32)cc1,0.0090
3203,83.991,CCCCOc1ccc(C2NC(=O)NC(C)=C2C(=O)OCC)cc1,0.0090
3204,83.986,CSCC[C@H](O)C(=O)N1CCC(OCc2ccccc2)CC1,0.0089
3205,83.981,O=S(=O)(c1ccc(N2CCN(c3nccs3)CC2)nc1)N1CCCC1,0.0089
3206,83.976,Cc1ccc(NC(=O)CSc2nc3c(c(=O)[nH]2)CN(Cc2ccccc2)CC3)c(Br)c1,0.0089
3207,83.971,CCCC(=O)Oc1ccc(Nc2cc(C)nc3nc(-c4cccnc4)nn23)cc1,0.0088
3208,83.966,CCN(CC)C(=O)c1cc(NC(=O)COC)c2c(c1)ncn2CCc1ccccc1,0.0088
3209,83.961,c1cc(C[C@@H]2COC[C@@H]2n2ccnc2-c2ncc[nH]2)ccn1,0.0088
3210,83.956,Cc1ccn2cc(-c3ccc(NS(=O)(=O)c4ccccc4F)cc3)nc2n1,0.0088
3211,83.951,O=C(c1cc(-c2cccs2)nc2ccccc12)N1CCN(c2ccccc2)CC1,0.0087
3212,83.946,Cc1sc(Nc2ccccc2)nc1-c1ccc(NS(C)(=O)=O)cc1,0.0086
3213,83.941,CN1CCCn2nc([C@H]3CCCN(C(=O)Nc4cccc(Cl)c4)C3)cc2C1=O,0.0086
3214,83.936,CCc1noc(CC)c1CC(=O)N1C[C@H](OC)C[C@H]1c1ncn[nH]1,0.0086
3215,83.931,COc1ccc(CC(=O)NCCc2nc3ccccc3s2)cc1,0.0086
3216,83.926,c1cncc(CN2CCC(c3nnc(-c4ccco4)s3)CC2)c1,0.0085
3217,83.921,CC1=C(C(=O)OCC(C)C)C(c2ccccc2OCc2ccccc2)C2=C(CC(c3ccc(Cl)cc3)CC2=O)N1,0.0085
3218,83.916,O=C(CCc1conc1-c1ccc(F)cc1)NCc1ccccc1Br,0.0085
3219,83.911,CC(C)n1cc(C(=O)N[C@@H](C)c2ccco2)c(=O)c(C(=O)N2CCCCCCC2)c1,0.0084
3220,83.906,O=C(c1c(O)cccc1O)N1CCO[C@H](CN2CCCC2)[C@H]1c1ccccc1,0.0084
3221,83.901,O=c1ccn(Cc2nc(Cc3cccs3)nn2CCO)c2ccccc12,0.0083
3222,83.896,O=C(c1cncc(O)c1)N1CC[C@@]23OCCCN2C(=O)C[C@@H]13,0.0083
3223,83.891,O=C(Nc1ccc2c(c1)OCCO2)N1CCC(n2c(-c3ccoc3)nc3cccnc32)C1,0.0083
3224,83.886,CN(C)CCCNC1=CC(=O)CC(c2ccccc2)C1,0.0083
3225,83.881,CCc1nc(C)c(CNC(=O)N2CCCN(C(=O)c3ccoc3)CC2)s1,0.0083
3226,83.876,O=C(C1CC(=O)N(C2CN(S(=O)(=O)c3cccc(F)c3)C2)C1)N1CCCC1,0.0082
3227,83.871,Nc1nc(N2CCOc3ccc(Cl)cc3C2)cc2nncn12,0.0080
3228,83.866,O=C(c1ccc2nccnc2c1)N1CCC(Cn2cnc3ccccc3c2=O)CC1,0.0080
3229,83.861,OC1CCCN(CC(O)COc2ccc(-c3ccccc3)cc2)C1,0.0080
3230,83.856,CNC(=O)C1CN(C(=O)c2ccccc2F)CC12CCN(c1ccc(C#N)c(C(F)(F)F)c1)CC2,0.0080
3231,83.851,COc1ccc(S(=O)(=O)N(CC(=O)NC(C)c2ccccc2)c2ccccc2)cc1,0.0080
3232,83.846,COc1ccc(/C(C)=N\NC(=O)C2COc3cc4ccccc4cc3O2)cc1OC,0.0079
3233,83.841,Cc1nc2ccnn2c(NC[C@H](O)c2cccc(=O)[nH]2)c1C,0.0079
3234,83.836,CN(C(=O)c1ccc(F)cc1)[C@H]1C[C@H]2C[C@@H](O)C[C@H]2C1,0.0079
3235,83.831,Cc1ccc(/C=C/C(=O)O)cc1S(=O)(=O)N1CCCC1,0.0079
3236,83.826,CCc1cc(N2CCN(Cc3ccccc3F)CC2)n2nccc2n1,0.0078
3237,83.821,COc1cccc(OC)c1C(=O)N1CCN(Cc2cccc([N+](=O)[O-])c2)CC1,0.0078
3238,83.816,O=C1CC[C@@H](CC(=O)N2CCC3(CCc4c3nc(N3CCOCC3)[nH]c4=O)CC2)N1,0.0078
3239,83.811,FC1(F)CC(COc2ncnc3ccsc23)C1,0.0077
3240,83.806,COc1cc(C)c(C(C)C)cc1S(=O)(=O)N1CCC[C@@]2(CCC(=O)N(C)C2)C1,0.0077
3241,83.801,CCN1CC=C2C(C#N)=C(N)C(C#N)(C#N)C(C)C2C1,0.0077
3242,83.796,C[C@@H]1COC[C@@](CO)(CNC(=O)c2ccccc2-c2cn[nH]c2)N1C,0.0076
3243,83.791,COCC[C@]1(C(=O)O)CCCN(Cc2cc(O)nc(C)n2)C1,0.0076
3244,83.786,COC(=O)NCCc1cc(OC)c(OC)cc1S(=O)(=O)N1CCOCC1,0.0075
3245,83.781,Cc1ccc(C)c(S(=O)(=O)N(C)Cc2cnc(C)s2)c1,0.0075
3246,83.776,COc1ccc(CN2CCN(Cc3ccc4c(c3)OCO4)CC2)c(OC)c1OC,0.0074
3247,83.771,COC1CCN(Cc2cccc(OC[C@@H](O)CN3CCCCCC3)c2)CC1,0.0074
3248,83.766,COc1ccc(CN(C)CC2CCN(Cc3ccc(C)o3)CC2)cc1OC,0.0074
3249,83.761,Cn1cnc2c(C(=O)NC3CCCCC3)nn(-c3ccccc3)c2c1=O,0.0074
3250,83.756,CS(=O)(=O)NCc1cc2n(n1)CCCN(Cc1nc3ccccc3[nH]1)C2,0.0074
3251,83.751,CCOC(=O)c1c(N)n(-c2ccc3ccccc3c2)c2nc3ccccc3nc12,0.0073
3252,83.746,CCc1nnc(NC(=O)CSc2nc(Nc3ccccc3)nc(N3CCOCC3)n2)s1,0.0073
3253,83.741,CN(CCC(=O)Nc1ccc(C#N)cc1)Cc1nc2ccccc2c(=O)[nH]1,0.0073
3254,83.736,COc1ccc(S(=O)(=O)N2CCCN(C(C)=O)CC2)cc1,0.0073
3255,83.731,CCCCN1C(=O)CN(S(=O)(=O)c2ccccc2)CC1(C)C(=O)NCc1ccc(F)cc1,0.0072
3256,83.726,Cc1cccc(CNc2nc3nonc3nc2N(C)C)c1,0.0072
3257,83.721,Cc1ccc(NC(=O)Nc2ccc(F)cc2)cc1OCc1cc(=O)n2ccccc2n1,0.0072
3258,83.716,COc1cc(-c2nccn2[C@H]2CCC[C@H](CO)C2)ccc1F,0.0072
3259,83.711,CCc1nnc(C[C@@H]2CC[C@H](Nc3cc(C)nc4ncnn34)C2)o1,0.0072
3260,83.706,CCOC(=O)Cc1nnc([C@H](C)NC(=O)c2nc(Cl)n(C)n2)[nH]1,0.0072
3261,83.701,O=C(CCSc1ccccc1)Nc1nnc(C2CC(=O)N(c3ccccc3)C2)s1,0.0071
3262,83.696,O=C(c1ccc2cn[nH]c2n1)N1CCN(CCn2cncn2)CC1,0.0071
3263,83.691,Cc1cc(C)cc(CN2CCN(C3CCN(C)CC3)[C@@H](CCO)C2)c1,0.0071
3264,83.686,O=[N+]([O-])c1cccc(S(=O)(=O)NCCOc2ccccc2)c1,0.0070
3265,83.681,Cn1ncc(NCc2ccc3c(c2)OCO3)c1C(=O)Nc1ccc(OC(F)(F)F)cc1,0.0070
3266,83.676,COCCC1(c2noc(C)n2)CCCN(C(=O)c2cccs2)C1,0.0068
3267,83.671,CCn1c(N2C[C@@H]3COC[C@]3(CO)C2)nc2cc(C(=O)OC)cnc21,0.0068
3268,83.666,CCC1c2cccn2-c2sc3c(c2CN1C(=O)NC(C)C)CCCC3,0.0068
3269,83.661,COc1ccc(NC(=O)c2nc(-c3ccccc3)n(-c3ccccc3C)n2)cc1,0.0068
3270,83.656,O=C(c1cccs1)N1CCC(Oc2cc(N3CCCC3)ncn2)C1,0.0068
3271,83.651,CO[C@@]12CC[C@@H](O)C[C@@H]1N(C(=O)c1ccccc1-c1nnn[nH]1)CC2,0.0068
3272,83.646,Cc1cc(S(=O)(=O)N2CCc3c(c(-c4nnc(-c5ccc(F)cc5)o4)nn3C)C2)ccc1F,0.0067
3273,83.641,O=C(CN[C@H]1CCCCNC1=O)Nc1nc2ccccc2[nH]1,0.0067
3274,83.636,COc1ccc(C2(C(=O)Nc3ccccc3OC)CCOCC2)cc1,0.0067
3275,83.631,CCc1nn2c(N3CCN(c4ccccn4)CC3)cc(C)nc2c1-c1ccccc1,0.0066
3276,83.626,CN(C)CCN1C(=O)CC(CC(=O)N(C)CC(O)c2ccccc2)(c2ccccc2Cl)C1=O,0.0066
3277,83.621,COC(=O)c1ccc(N2C(=O)CC(N3CCC(Cc4ccc(Cl)cc4)CC3)C2=O)cc1,0.0066
3278,83.616,O=C(NCc1ccccn1)c1ccc(OC2CCN(C3Cc4ccccc4C3)CC2)cc1,0.0065
3279,83.611,Cc1ccc(OCc2nc(CN(C)CC(=O)NC3CC3)cs2)cc1,0.0065
3280,83.606,COc1ccc(S(=O)(=O)N2CCN(C(=O)c3cn(C)nc3C3CC3)CC2)cc1,0.0064
3281,83.601,COc1ccc(Cl)cc1S(=O)(=O)N(CCc1ccccc1)Cc1ccccn1,0.0064
3282,83.596,CCn1cnnc1C1CN(Cc2ccc3cn[nH]c3c2)CCO1,0.0064
3283,83.591,Cc1nc(-c2ccc3c(c2)[nH]c(=O)n3[C@H]2CC[C@H](O)CC2)n(CC(=O)O)n1,0.0063
3284,83.586,Cc1cc(NC(=O)NCC2(COc3ccccc3)CC2)n([C@@H](C)C2CC2)n1,0.0063
3285,83.581,Cc1nc(C)c(CC(=O)N2CCC[C@H](c3ccccc3)CC2)c(=O)[nH]1,0.0063
3286,83.576,CCc1nc2c(sc3cccc(F)c32)c(=O)n1CC(=O)NC1CCCC1,0.0063
3287,83.571,CCOC(=O)C1=C(CSc2ccccc2C)NC(=O)NC1c1cc(C)ccc1C,0.0063
3288,83.566,O=C1CC2(CCN(S(=O)(=O)c3ccccc3F)CC2)Oc2ccccc21,0.0063
3289,83.561,COc1ccc(CNC(=O)CN2C(=O)CCn3nc(-c4cn(C)c5ccccc45)cc32)cc1,0.0062
3290,83.556,CCn1c(Cn2cccn2)nc2cc(NC(=O)c3cccc([N+](=O)[O-])c3)ccc21,0.0062
3291,83.551,CCOc1c(Br)cc(CNCCS(C)(=O)=O)cc1OC,0.0062
3292,83.546,CCN(CC)c1nc(C(=O)Nc2ccc(NC(C)=O)cc2)nc2nc(C)cc(C)c12,0.0062
3293,83.541,COc1ccc(CN2C(=O)N(Cc3ccc(Cl)cc3)c3ccccc3S2(=O)=O)cc1,0.0061
3294,83.536,Oc1c(C(c2ccccc2Cl)N2CCOCC2)sc2nc(-c3ccco3)nn12,0.0061
3295,83.531,COc1ccc(NC(=O)C2CCN(c3cc(C(F)(F)F)ncn3)CC2)cc1,0.0061
3296,83.526,CCc1nnc2ccc(S(=O)(=O)N(Cc3cccc(F)c3)c3ccc(OC)cc3)cn12,0.0061
3297,83.521,Cc1ncc(-c2ccc(C)c(S(=O)(=O)N3CCc4ccccc43)c2)o1,0.0061
3298,83.516,O=C1Nc2ccccc2NC12CCN(Cc1ccn3ncnc3c1)CC2,0.0060
3299,83.511,COc1ccc(-c2nnc(-c3cccc(S(=O)(=O)N4CCC(C)CC4)c3)o2)cc1,0.0060
3300,83.506,CCc1c(C)nc2ncnn2c1Nc1ccc(N2CCN(C(=O)C(C)C)CC2)c(Cl)c1,0.0060
3301,83.501,CCOC(=O)c1noc2nc(C)nc(Nc3cc(Cl)c(OC)cc3OC)c12,0.0060
3302,83.496,CCCOc1ccc(C(=O)N2CCCN(S(=O)(=O)N3CCCCC3)CC2)cc1,0.0060
3303,83.491,CCN(CC)c1ccc(C2C(C(=O)c3ccc(F)cc3)=C(O)C(=O)N2CCN(C)C)cc1,0.0058
3304,83.486,Cc1nc(S(=O)(=O)N2CCC(c3nnnn3C3CCCC3)(N(C)C)C2)cn1C,0.0058
3305,83.481,COc1ccc(CNC(=O)COc2cc(C)c(Cl)c(C)c2)cc1,0.0058
3306,83.476,CC(c1ccccc1)C(CC(=O)O)C(=O)O,0.0058
3307,83.471,CCS(=O)(=O)NC[C@H]1CCCN(Cc2nccn2C(C)C)C1,0.0058
3308,83.466,NCCNCCOCCOc1ccc(Cl)cc1Br,0.0057
3309,83.461,CC(C(=O)N1CCCC1C1CCCCC1O)C1CCC(=O)N1,0.0055
3310,83.456,Cc1nc([C@H](C)N(C)C(=O)Cn2cc(C)c(=O)[nH]c2=O)c(C)s1,0.0055
3311,83.451,COc1ccc(OC)c(C2CC(=O)Nc3c2c(C)nn3-c2nc3ccc(C)cc3s2)c1,0.0055
3312,83.446,CN(C)C[C@H]1OCCN(C(=O)c2cn(C)c(=O)[nH]c2=O)[C@@H]1c1cnn(C)c1,0.0054
3313,83.441,COc1ccc(OC)c(S(=O)(=O)N(C)Cc2ccccc2)c1,0.0053
3314,83.436,COc1ccc(CCCNC(=N)N)cc1Cl,0.0053
3315,83.431,CN1CCCC[C@@H]1CCNC(=O)c1ccc(N2CCC(O)CC2)nc1,0.0053
3316,83.426,COc1ccc(-c2cn(-c3ccc(C)c(C)c3)c(NC(=O)CN(C(=O)C(C)C)C(C)C)n2)cc1,0.0052
3317,83.421,CCOc1ccc(OCC)c(S(=O)(=O)Nc2c(C)n(C)n(-c3ccccc3)c2=O)c1,0.0052
3318,83.416,FC(F)(F)c1nnc2ccc(NCC3CN(Cc4ccccc4)CCO3)nn12,0.0052
3319,83.411,O=S(=O)(NCCc1nnc2ccc(SCc3ccc(Cl)cc3Cl)nn12)c1ccccc1,0.0052
3320,83.406,CC(NC(=O)c1ccc2c(=O)n3c(nc2c1)CCC3)c1ccc(S(N)(=O)=O)cc1,0.0052
3321,83.401,CCOC(=O)C(=CNc1ccc(C(N)=O)cc1)C(=O)OCC,0.0052
3322,83.396,CCOC(=O)Nc1ccc2c(c1)N(C(=O)N1CCN(C)CC1)c1ccccc1S2,0.0052
3323,83.391,CCOC(=O)C1(COC)CCN(C(=O)c2sc(-c3ccc(Cl)cc3)nc2C)CC1,0.0051
3324,83.386,COc1ccccc1N1CCN(CCCNC(=O)c2c(-c3ccccc3)nnc3ccccc23)CC1,0.0050
3325,83.381,Cc1noc2nc3c(c(C(=O)N[C@H]4CCC[C@H](CO)C4)c12)CCC3,0.0050
3326,83.376,Cc1ccc(C)c(N2CCN(S(=O)(=O)c3cc(-c4cc(C(F)(F)F)on4)ccc3C)CC2)c1,0.0050
3327,83.371,COc1ccc(CN2CCN(C3CCC(C)CC3)CC2)cc1OC,0.0050
3328,83.366,CCN(CC)C(=O)c1cnc2nc(C)ccc2c1Nc1ccc(NC(C)=O)cc1,0.0049
3329,83.361,CN(Cc1cc(-c2cccs2)n[nH]1)C(=O)Cc1ccc(C[C@H]2CCNC2)cc1,0.0049
3330,83.356,CCCNc1cc(C)nc2cc(-c3ccc(OC)c(OC)c3)nn12,0.0048
3331,83.351,CCCc1cc(N2CCN(C(=O)c3cccc(N(C)C)c3)CC2)nc2nncn12,0.0047
3332,83.346,O=C(c1cnn2c(C(F)(F)F)cc(-c3ccccc3)nc12)N1CCOCC1,0.0046
3333,83.341,Cc1nc(-c2ccccc2)nc(N2CCN(CC(O)Cc3ccccc3)CC2)c1Cc1ccccc1,0.0046
3334,83.336,Cc1ccc(C)c(NC(=O)C2CCCN(S(=O)(=O)c3c(C)noc3/C=C/c3ccco3)C2)c1,0.0046
3335,83.331,CC(C)(C)[C@H]1CN(C(=O)c2cc(Cl)ccc2OCCN)C[C@@H](c2ccccc2)O1,0.0045
3336,83.326,Cc1ccc(Nc2nc(N3CCN(CCO)CC3)nc3c2C(=O)CCC3)cc1,0.0044
3337,83.321,O=C(c1cc(F)ccc1F)N(CC1CCOC1)C1CC1,0.0044
3338,83.316,C=CCN1C(=O)N[C@H](c2cccc(OCc3ccccc3)c2)C2=C1CN(CCN(CC)CC)C2=O,0.0043
3339,83.311,Cc1ccc(C(=O)COC(=O)c2ccccc2[N+](=O)[O-])cc1C,0.0043
3340,83.306,COc1cccc(Cl)c1C(=O)NCC1CCCOC1C(C)C,0.0043
3341,83.301,O=C(CCCc1ccccc1)Nc1nc2ccccc2s1,0.0042
3342,83.296,CCOC(=O)COc1ccc2c(c1)c(C(C)=O)c(C)n2-c1cccc(Br)c1,0.0042
3343,83.291,CC1CCN(c2ncc(C(C)(C)C(=O)O)c(N3CCOCC3)n2)CC1,0.0042
