rank,percentile,smi,score
54,99.735,COc1cc2c(cc1OC)C1(CCN(c3cccc(C(C)C)n3)CC1)OCC2,0.3409
55,99.730,O=S(=O)(c1ccc(F)cc1F)N1CCn2cccc2C1c1ccc(Br)cc1,0.3406
56,99.725,COc1ccc(S(=O)(=O)NCCSCc2ccc(C)cc2)cc1Br,0.3401
57,99.720,CCSCCn1c(C)c(C(=O)OCCOC)c2cc(O)c3ccccc3c21,0.3394
58,99.715,CC(C)c1nccn1CC1CN(S(=O)(=O)c2ccccc2Br)C1,0.3386
59,99.710,COc1ccc(-c2cc3n(n2)CCCN(S(=O)(=O)c2ccccc2)C3)cc1OC,0.3372
60,99.705,COc1ccc(S(=O)(=O)NCCc2sc3nc(-c4ccc(Cl)cc4)nn3c2C)cc1,0.3359
61,99.700,COc1cc2nc(SC)n(C[C@H]3CCCO3)c(=O)c2cc1OC,0.3348
62,99.695,CC[C@H]1C=CCN1C(=O)C1(c2ccc(OC)c(OC)c2)CCCC1,0.3333
63,99.690,CCC(=O)c1ccc(OCc2cccc(C(=O)Oc3ccccc3)c2)cc1,0.3271
64,99.685,Cc1cccc(CNC(=O)CCc2nc(N3CC(C)CC(C)C3)c3c(C)noc3n2)c1,0.3258
65,99.680,Cc1cc(C(C)(C)C)cc(C)c1S(=O)(=O)N1CCN(c2cnn(C)c(=O)c2Cl)CC1,0.3247
66,99.675,O=[N+]([O-])c1ccc(N2CCN(S(=O)(=O)c3ccc(Br)cc3)CC2)cc1N1CCOCC1,0.3235
67,99.670,COc1cc(C)c(CN(C)Cc2cnc(C)s2)cc1OC,0.3226
68,99.665,Cc1ccc(S(=O)(=O)N2CCCC(CCO)CC2)c(F)c1,0.3221
69,99.660,CCN(CC)c1ccc(NC(=O)c2cc3ccccc3cc2OC)c(C)c1,0.3218
70,99.655,Oc1ccc2c(-c3ccccc3F)noc2c1,0.3202
71,99.650,Cc1nn(C)c(Cl)c1CN1CCC[C@H](Cn2cc(CO)nn2)C1,0.3200
72,99.645,Cc1oc2ccc(O)c(CN3CCCC3)c2c1C(=O)NC1CCCCC1,0.3199
73,99.640,O=C(c1csc(NC2CC2)n1)N1CCOC(c2cccc(O)c2)C1,0.3196
74,99.635,Cc1cccc(CN(c2cccc(Cl)c2)S(=O)(=O)c2cccc([N+](=O)[O-])c2)c1,0.3189
75,99.630,CCCc1cc(=O)oc2cc(OC(=O)c3cccc(OC)c3)c(Cl)cc12,0.3133
76,99.625,CCC(C)(C)C1CCc2oc3ccc(NS(=O)(=O)c4ccc(C)cc4)cc3c2C1,0.3113
77,99.620,CCOc1nc2ccccc2nc1N1CCCC(C(=O)Nc2ccc(OC)cc2OC)C1,0.3107
78,99.615,CCCCOc1ccc(/C=N/NS(=O)(=O)c2ccc(OC)cc2)cc1OCC,0.3105
79,99.610,Cc1oc(-c2ccsc2)nc1CC(=O)N(C)Cc1cccc(O)c1,0.3101
80,99.605,C=CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC=C)C1c1ccc(OC)c(OC)c1,0.3081
81,99.600,CCc1oc(C(=O)NCCc2ccc(O)cc2)cc1CN(CC)CC,0.3065
82,99.595,CCc1cc2c(=O)c(-c3ccccc3)c(C(F)(F)F)oc2cc1OC(C)C,0.3028
83,99.590,c1ccc(CN(C[C@H]2CCCO2)C2CCN(c3ccc4c(c3)CCC4)CC2)nc1,0.3016
84,99.585,Cc1cc(N2CCC3(CCCN3Cc3ncc[nH]3)CC2)c2ccccc2n1,0.3006
85,99.580,CCc1c(C)sc2c1CCN(Cc1ccc(F)cc1Cl)C2c1ccccc1,0.3005
86,99.575,Cc1nn(C)c(C)c1CCCN(C)c1ccc(NS(=O)(=O)c2ccccc2Cl)cc1C(=O)O,0.2996
87,99.570,COc1ccc(Cl)cc1S(=O)(=O)N1Cc2ccccc2-n2cccc2C1c1ccc(C)cc1,0.2994
88,99.565,CN1CCN(c2ccc(CNS(=O)(=O)c3cc(Cl)ccc3Cl)cc2)CC1,0.2992
89,99.560,CC(C)Cc1ccc(S(=O)(=O)N2CCc3c(c(-c4nnc(-c5ccccc5)o4)nn3C)C2)cc1,0.2979
90,99.555,O=C(c1cc(Cl)ccc1Cl)N1CCCC1c1nc(-c2ccc(O)cc2F)no1,0.2965
91,99.550,COc1ccc(CNCc2ccc(C)cc2)cc1OC[C@@H](O)CN1CCCCCCC1,0.2958
92,99.545,CN(Cc1ccc(O)cc1)C(=O)C(=O)Nc1ccc2oc(C(C)(C)C)nc2c1,0.2937
93,99.540,O=C1CC[C@@]2(CCCN(C(=O)c3ccc(O)cc3)C2)CN1CCCO,0.2935
94,99.535,COC[C@@]12CCN(S(=O)(=O)c3c(C)noc3C)C[C@@H]1CN(c1ccc(C#N)c(C(F)(F)F)c1)C2,0.2934
95,99.530,CCCCc1ccc(S(=O)(=O)N2CCN(Cc3ccc(C(C)(C)C)cc3)CC2)cc1,0.2929
