pocket,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,O=S(=O)(c1ccc(O)cc1)c1ccc(O)cc1,CC(C)(c1cc(Cl)c(O)c(Cl)c1)c1cc(Cl)c(O)c(Cl)c1,Oc1ccc(Cc2ccc(O)cc2)cc1,Oc1ccc(C(c2ccc(O)cc2)(C(F)(F)F)C(F)(F)F)cc1,CCC(C)(c1ccc(O)cc1)c1ccc(O)cc1,CC(c1ccc(O)cc1)c1ccc(O)cc1,Oc1ccc(C2(c3ccc(O)cc3)CCCCC2)cc1,Cc1cc(C(C)(C)c2ccc(O)c(C)c2)ccc1O,CC(c1ccccc1)(c1ccc(O)cc1)c1ccc(O)cc1,CC(C)(c1cc(Br)c(O)c(Br)c1)c1cc(Br)c(O)c(Br)c1
ERalpha,0.5711,0.3186,0.5813,0.2023,0.4810,0.6177,0.5587,0.6577,0.6037,0.5482,0.5337
ERbeta,0.4183,0.4148,0.5342,0.1198,0.3796,0.4538,0.3883,0.5014,0.4782,0.3879,0.5034
ERRgamma,0.8267,0.4351,0.4734,0.4105,0.6996,0.8206,0.8335,0.8189,0.7269,0.7984,0.4821
PPARgamma,0.0148,-0.0963,0.0169,-0.0553,0.0276,0.0330,-0.0134,0.0665,0.0211,-0.0262,0.0125
AR,0.5887,0.1364,0.4486,0.3796,0.5208,0.5884,0.5461,0.5708,0.5695,0.5626,0.3786
THRbeta,0.3707,0.4443,0.4949,0.1556,0.3936,0.3915,0.3810,0.3423,0.4392,0.3585,0.4827
PR,0.3497,0.0834,0.4424,0.1233,0.2621,0.3751,0.2845,0.4068,0.4087,0.3632,0.3364
