output_ligand_name,input_protein,input_ligand,output_ligand_sdf,predicted_rmsd
ERalpha__RANDOM3,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/inputs/ERalpha.pdb,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/inputs/RANDOM3.sdf,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/predict_sdf/ERalpha__RANDOM3.sdf,11.810012817382812
PPARgamma__BPS,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/inputs/PPARgamma.pdb,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/inputs/BPS.sdf,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/predict_sdf/PPARgamma__BPS.sdf,12.16732406616211
PPARgamma__BPAF,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/inputs/PPARgamma.pdb,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/inputs/BPAF.sdf,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/predict_sdf/PPARgamma__BPAF.sdf,11.608089447021484
PPARgamma__BPZ,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/inputs/PPARgamma.pdb,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/inputs/BPZ.sdf,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/predict_sdf/PPARgamma__BPZ.sdf,13.046834945678711
PPARgamma__RANDOM1,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/inputs/PPARgamma.pdb,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/inputs/RANDOM1.sdf,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/predict_sdf/PPARgamma__RANDOM1.sdf,7.317394256591797
PPARgamma__RANDOM2,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/inputs/PPARgamma.pdb,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/inputs/RANDOM2.sdf,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/predict_sdf/PPARgamma__RANDOM2.sdf,4.76322603225708
PPARgamma__RANDOM3,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/inputs/PPARgamma.pdb,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/inputs/RANDOM3.sdf,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/predict_sdf/PPARgamma__RANDOM3.sdf,6.148927211761475
PR__BPS,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/inputs/PR.pdb,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/inputs/BPS.sdf,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/predict_sdf/PR__BPS.sdf,13.550923347473145
PR__BPAF,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/inputs/PR.pdb,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/inputs/BPAF.sdf,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/predict_sdf/PR__BPAF.sdf,11.634943962097168
PR__BPZ,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/inputs/PR.pdb,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/inputs/BPZ.sdf,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/predict_sdf/PR__BPZ.sdf,13.348440170288086
PR__RANDOM1,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/inputs/PR.pdb,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/inputs/RANDOM1.sdf,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/predict_sdf/PR__RANDOM1.sdf,7.075980186462402
PR__RANDOM2,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/inputs/PR.pdb,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/inputs/RANDOM2.sdf,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/predict_sdf/PR__RANDOM2.sdf,5.989512920379639
PR__RANDOM3,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/inputs/PR.pdb,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/inputs/RANDOM3.sdf,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/predict_sdf/PR__RANDOM3.sdf,15.452593803405762
THRbeta__BPS,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/inputs/THRbeta.pdb,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/inputs/BPS.sdf,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/predict_sdf/THRbeta__BPS.sdf,13.856650352478027
THRbeta__BPAF,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/inputs/THRbeta.pdb,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/inputs/BPAF.sdf,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/predict_sdf/THRbeta__BPAF.sdf,13.576711654663086
THRbeta__BPZ,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/inputs/THRbeta.pdb,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/inputs/BPZ.sdf,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/predict_sdf/THRbeta__BPZ.sdf,14.144004821777344
THRbeta__RANDOM1,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/inputs/THRbeta.pdb,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/inputs/RANDOM1.sdf,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/predict_sdf/THRbeta__RANDOM1.sdf,6.5842132568359375
THRbeta__RANDOM2,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/inputs/THRbeta.pdb,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/inputs/RANDOM2.sdf,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/predict_sdf/THRbeta__RANDOM2.sdf,6.131638050079346
THRbeta__RANDOM3,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/inputs/THRbeta.pdb,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/inputs/RANDOM3.sdf,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/predict_sdf/THRbeta__RANDOM3.sdf,17.039793014526367
