cid,smiles,molecular_weight
3120,CN(C)C(=O)NC1=CC(=C(C=C1)Cl)Cl,233.09
3220,CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)O,270.24
3224,C1C2C(COS(=O)O1)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl,406.9
3225,C1CC2C(C(C1O2)C(=O)O)C(=O)O,186.16
3242,CC1=CC(=NC(=N1)N2C(=CC(=N2)C)OC)OC,234.25
3278,CCC(=C)C(=O)C1=C(C(=C(C=C1)OCC(=O)O)Cl)Cl,303.13
3286,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,384.5
3293,CCOC1=CC2=C(C=C1)NC(C=C2C)(C)C,217.31
3295,CCOC1=CC2=C(C=C1)N=C(S2)S(=O)(=O)N,258.3
3316,CCCCCCOC1=CC=CC=C1C(=O)N,221.29
3333,CCOC(=O)C1=C(NC(=C(C1C2=C(C(=CC=C2)Cl)Cl)C(=O)OC)C)C,384.2
3334,COC(=O)NC1=NC2=C(N1)C=C(C=C2)SC3=CC=CC=C3,299.3
3339,CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl,360.8
3345,CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3,336.5
3346,CC1=C(C=CC(=C1)OP(=S)(OC)OC)SC,278.3
3352,C1=C(C=C(C(=C1Cl)N2C(=C(C(=N2)C#N)S(=O)C(F)(F)F)N)Cl)C(F)(F)F,437.1
3360,C1=CC=C(C(=C1)C(=O)OCC(CO)O)NC2=C3C=CC=C(C3=NC=C2)C(F)(F)F,406.4
3371,C1=CC=C(C(=C1)C(=O)O)NC2=CC=CC(=C2)C(F)(F)F,281.23
3396,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F,475.6
3397,CC(C)C(=O)NC1=CC(=C(C=C1)[N+](=O)[O-])C(F)(F)F,276.21
3440,C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl,330.74
3444,C1C(COC1(CN2C=NC=N2)C3=C(C=C(C=C3)Cl)Cl)Br,377.1
3503,CC1=CC2=C(C(=C(C(=C2C(C)C)O)O)C=O)C(=C1C3=C(C4=C(C=C3C)C(=C(C(=C4C=O)O)O)C(C)C)O)O,518.6
3589,C1=CC(C2C1C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl,373.3
3598,C1=C(C(=C(C(=C1Cl)Cl)CC2=C(C(=CC(=C2Cl)Cl)Cl)O)O)Cl,406.9
3610,CCCCCCC1=C(C=C(C=C1)O)O,194.27
3634,CCN(CC)CCNC1=C2C(=C(C=C1)CO)SC3=CC=CC=C3C2=O,356.5
3712,C1=CC=C2C(=C1)C(=CN2)CO,147.17
3728,C1=CC2=C(C(=C(C=C2I)I)O)N=C1,396.95
3735,CCC(CC1=C(C(=C(C=C1I)I)N)I)C(=O)O,570.93
3784,CC1=C(C(C(=C(N1)C)C(=O)OC(C)C)C2=CC=CC3=NON=C32)C(=O)OC,371.4
3884,CC(=CCC1=C(C2=CC=CC=C2C(=O)C1=O)O)C,242.27
3893,CCCCCCCCCCCC(=O)O,200.32
3899,CC1=C(C=NO1)C(=O)NC2=CC=C(C=C2)C(F)(F)F,270.21
3936,CN(C1=NC(=CC=C1)OC)C(=S)OC2=CC3=C(CCCC3)C=C2,328.4
3957,CCOC(=O)N1CCC(=C2C3=C(CCC4=C2N=CC=C4)C=C(C=C3)Cl)CC1,382.9
3969,CCCC1=C(C=CC(=C1O)C(=O)C)OCCCCC2=NNN=N2,318.37
4006,CC(C)OC(=O)C(=C1SC=CS1)C(=O)OC(C)C,288.4
4011,CNCCCC12CCC(C3=CC=CC=C31)C4=CC=CC=C24,277.4
4030,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CC=C3,295.29
4044,CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)O)C,241.28
4115,COC1=CC=C(C=C1)C(C2=CC=C(C=C2)OC)C(Cl)(Cl)Cl,345.6
4122,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CS3,301.32
4130,COP(=S)(OC)OC1=CC=C(C=C1)[N+](=O)[O-],263.21
4169,CCC1=CC=CC(=C1N(C(C)COC)C(=O)CCl)C,283.79
