cid,tox21_outcome,vina_affinity,seconds
18062,Inactive,-6.782,5.8
16051918,Inactive,56.240,28.6
76013,Inactive,-8.225,14.2
36462,Active,6.837,74.4
142766,Inactive,-6.393,2.3
7571,Inactive,-6.102,6.2
4912,Inactive,3.880,59.2
5281771,Inactive,3.169,314.5
68654,Inactive,-4.952,20.0
107882,Inactive,-9.785,4.9
