cid,tox21_outcome,vina_affinity,seconds
3598,Active,-6.044,8.6
1550232,Active,-1.483,16.5
73111,Inactive,31.890,320.6
40399,Inactive,-7.614,11.6
4764,Active,-8.495,10.9
4766,Inactive,-6.742,13.0
16129710,Inactive,,600.0
122797,Inactive,-5.924,15.6
11742,Active,-8.529,3.3
