pocket,O=S(=O)(c1ccc(O)cc1)c1ccc(OCc2ccccc2)cc1,Oc1ccc(Cc2ccc(O)cc2)cc1,CC(C)(c1ccc(O)c(-c2ccccc2)c1)c1ccc(O)c(-c2ccccc2)c1,Oc1ccc(Sc2ccc(O)cc2)cc1,C=CCOc1ccc(S(=O)(=O)c2ccc(O)cc2)cc1,Cc1ccc(S(=O)(=O)NC(=O)Nc2cccc(OS(=O)(=O)c3ccc(C)cc3)c2)cc1,CC(C)c1cc(C(C)(C)c2ccc(O)c(C(C)C)c2)ccc1O,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,Oc1ccc(C2(c3ccc(O)cc3)CCCCC2)cc1,Oc1ccc(SCCOCOCCSc2ccc(O)cc2)cc1,Cc1ccc(S(=O)(=O)NC(=O)Nc2ccc(Cc3ccc(NC(=O)NS(=O)(=O)c4ccc(C)cc4)cc3)cc2)cc1,CC(c1ccc(O)cc1)c1ccc(O)cc1,CC(c1ccccc1)(c1ccc(O)cc1)c1ccc(O)cc1,CC(C)(c1ccc(O)cc1)c1ccc(C(C)(C)c2ccc(O)cc2)cc1,CCC(C)(c1ccc(O)cc1)c1ccc(O)cc1,CC(C)(c1cc(Br)c(O)c(Br)c1)c1cc(Br)c(O)c(Br)c1,CC(C)(c1cc(Cl)c(O)c(Cl)c1)c1cc(Cl)c(O)c(Cl)c1,Cc1cc(C(C)(C)c2ccc(O)c(C)c2)ccc1O,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,O=S(=O)(c1ccc(O)cc1)c1ccc(O)cc1,O=C(OCc1ccccc1)c1ccc(O)cc1,Oc1ccc(C(c2ccc(O)cc2)(C(F)(F)F)C(F)(F)F)cc1,Oc1ccccc1Cc1ccccc1O,CC1(C)C(O)C(C)(C)C1O,COC(=O)C(c1ccc(O)cc1)c1ccc(O)cc1,Cc1cc(Cc2cc(C)c(O)c(C)c2)cc(C)c1O,O=S(=O)(c1ccc(O)cc1)c1ccccc1O,Cc1cc(C(C)(C)c2cc(C)c(O)c(C)c2)cc(C)c1O,CC(C)CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,C=CCc1cc(S(=O)(=O)c2ccc(O)c(CC=C)c2)ccc1O,CC(C)(c1ccc(OP(=O)(Oc2ccccc2)Oc2ccccc2)cc1)c1ccc(OP(=O)(Oc2ccccc2)Oc2ccccc2)cc1,CC(C)Oc1ccc(S(=O)(=O)c2ccc(O)cc2)cc1
ERalpha,0.1574,0.4155,0.4114,0.4812,0.4521,-0.0554,0.7496,0.4684,0.8664,0.1704,-0.1091,0.8315,0.7996,0.7626,0.8721,0.7421,0.7460,0.8839,0.8439,0.4473,0.6681,0.8205,0.1996,-0.0187,0.6886,0.5221,0.4530,0.8444,0.8535,0.1794,0.1707,0.4509
ERbeta,0.1564,0.4997,0.1817,0.5309,0.4267,-0.0781,0.4894,0.1820,0.6414,0.2293,-0.0892,0.5996,0.5431,0.5032,0.6169,0.5346,0.5347,0.6528,0.6140,0.3881,0.7385,0.6774,0.2634,-0.0824,0.6182,0.5393,0.3732,0.6129,0.6199,0.0727,0.0872,0.4497
ERRgamma,0.1544,0.4114,0.2389,0.4770,0.3231,-0.0873,0.5871,0.4696,0.8189,0.1211,-0.0467,0.8336,0.7986,0.6827,0.8207,0.4824,0.4732,0.7269,0.8276,0.4351,0.4969,0.7017,0.2035,0.0661,0.5824,0.3041,0.4116,0.6029,0.8022,0.1672,0.0877,0.3005
PPARgamma,0.1078,0.3953,0.2433,0.2454,0.1929,0.3860,0.3582,0.5374,0.4774,0.0199,0.0679,0.5295,0.5124,0.4590,0.5131,0.4764,0.4206,0.4610,0.5369,0.1664,0.2173,0.5526,0.4498,0.2586,0.4580,0.1775,0.2058,0.3562,0.4953,0.2555,0.1377,0.1515
AR,-0.0694,0.3809,0.0442,0.2953,-0.0105,0.0309,0.3298,0.1782,0.5708,0.0049,0.0530,0.5457,0.5618,0.3996,0.5872,0.3788,0.4475,0.5695,0.5887,0.1363,0.2811,0.5211,0.1297,-0.2826,0.4552,0.2856,0.0937,0.4888,0.6063,-0.1175,-0.0268,0.0615
THRbeta,0.3582,0.1560,0.5608,0.3069,0.3240,0.2232,0.6619,0.3777,0.3422,0.1926,0.0598,0.3812,0.3587,0.5648,0.3917,0.4820,0.4953,0.4392,0.3692,0.4443,0.3518,0.3927,-0.0469,-0.1308,0.2709,0.3474,0.2956,0.5056,0.3478,0.3509,0.2567,0.4121
PR,0.0102,0.3783,0.0684,0.3053,0.0997,-0.0541,0.3523,0.1755,0.5565,0.1252,-0.0170,0.5057,0.5406,0.4500,0.5583,0.3532,0.4566,0.5268,0.5534,0.2418,0.3141,0.3976,0.0475,-0.3015,0.4769,0.3669,0.1448,0.4901,0.5784,-0.0174,-0.0329,0.1417
