target,input_id,r_epik_Population,r_epik_State_Penalty,r_epik_acidic_macro-pKa_1,r_epik_acidic_macro-pKa_2,"r_epik_macro-pKa_(-1,0)","r_epik_macro-pKa_(-2,-1)",r_i_docking_score,r_i_glide_ecoul,r_i_glide_eff_state_penalty,r_i_glide_einternal,r_i_glide_emodel,r_i_glide_energy,r_i_glide_erotb,r_i_glide_esite,r_i_glide_evdw,r_i_glide_gscore,r_i_glide_hbond,r_i_glide_ligand_efficiency,r_i_glide_ligand_efficiency_ln,r_i_glide_ligand_efficiency_sa,r_i_glide_lipo,r_i_glide_metal,r_i_glide_rewards
AR,BPA_CID6623__prepared_state_008::AR::pose_00018,0.9968127480663589,0.0018912202000829093,9.897,9.897,9.897,9.897,-9.44895421106238,-8.130596115758644,0.0018912202000829093,2.615366404816762,-58.94640059720104,-39.55576710186132,0.6537926348342753,0.0,-31.425170986102675,-9.450845431262463,-0.608,-0.5558208359448459,-2.4650217358013577,-1.4291718831692537,-3.953246258518716,-0.0,-2.752543840909091
AR,BPA_CID6623__prepared_state_008::AR::pose_00020,0.9968127480663589,0.0018912202000829093,9.897,9.897,9.897,9.897,-9.441584360888633,-8.152300481328016,0.0018912202000829093,4.438820430727716,-57.95660019936993,-39.493834441539974,0.6537926348342753,0.0,-31.34153396021196,-9.443475581088716,-0.608,-0.5553873153463902,-2.4630991060095213,-1.4280571796352732,-3.9468026048040996,-0.0,-2.752543840909091
AR,BPA_CID6623__prepared_state_008::AR::pose_00025,0.9968127480663589,0.0018912202000829093,9.897,9.897,9.897,9.897,-9.332977025153555,-8.078654645645896,0.0018912202000829093,4.083409968295168,-56.58736283482897,-38.18475300297691,0.6537926348342753,0.0,-30.106098357331017,-9.334868245353638,-0.608,-0.5489986485384444,-2.4347658706826945,-1.411630118283153,-3.911013924565386,-0.0,-2.752543840909091
AR,BPA_CID6623__prepared_state_008::AR::pose_00031,0.9968127480663589,0.0018912202000829093,9.897,9.897,9.897,9.897,-9.246870089893637,-7.839378429293488,0.0018912202000829093,4.491155449220791,-56.009784495389496,-37.999630386215436,0.6537926348342753,0.0,-30.160251956921947,-9.24876131009372,-0.608,-0.5439335346996257,-2.4123024887805533,-1.3986062843148102,-3.8580907417787826,-0.0,-2.752543840909091
AR,BPA_CID6623__prepared_state_008::AR::pose_00042,0.9968127480663589,0.0018912202000829093,9.897,9.897,9.897,9.897,-9.195796559926896,-7.742113271322941,0.0018912202000829093,3.745988073804634,-57.13802563945064,-38.867144089272806,0.6537926348342753,0.0,-31.125030817949867,-9.197687780126978,-0.608,-0.5409292094074645,-2.3989785421638232,-1.390881317998727,-3.7733680424562275,-0.0,-2.752543840909091
AR,BPA_CID6623__prepared_state_008::AR::pose_00064,0.9968127480663589,0.0018912202000829093,9.897,9.897,9.897,9.897,-8.992219093246856,-8.806158947665173,0.0018912202000829093,2.9220232205017957,-56.45399460079485,-38.21698606711253,0.6537926348342753,0.0,-29.410827119447358,-8.994110313446939,-0.608,-0.5289540643086386,-2.3458697145542913,-1.360089847860655,-3.4958939092499794,-0.0,-2.752543840909091
AR,BPA_CID6623__prepared_state_008::AR::pose_00066,0.9968127480663589,0.0018912202000829093,9.897,9.897,9.897,9.897,-8.986842873033702,-8.790682774467076,0.0018912202000829093,2.7930754377029388,-56.492820974340624,-38.203113020592475,0.6537926348342753,0.0,-29.4124302461254,-8.988734093233784,-0.608,-0.528637816060806,-2.344467178423217,-1.359276684562925,-3.4927589586826375,-0.0,-2.752543840909091
AR,BPA_CID6623__prepared_state_008::AR::pose_00072,0.9968127480663589,0.0018912202000829093,9.897,9.897,9.897,9.897,-8.937835942623973,-6.775337173438466,0.0018912202000829093,2.6054680766933576,-56.470372702407765,-38.19419125076999,0.6537926348342753,0.0,-31.418854077331524,-8.939727162824056,-0.5284599666482654,-0.525755055448469,-2.3316823616100026,-1.3518642952701483,-3.725272710218628,-0.0,-2.752543840909091
AR,BPA_CID6623__prepared_state_008::AR::pose_00073,0.9968127480663589,0.0018912202000829093,9.897,9.897,9.897,9.897,-8.928423889081774,-5.074119987559148,0.0018912202000829093,3.532593616506068,-55.54654349178767,-37.754538168555186,0.6537926348342753,0.0,-32.680418180996035,-8.930315109281857,-0.3285080475552148,-0.5252014052401044,-2.3292269664369702,-1.3504407046817162,-4.1079169484681515,-0.0,-2.752543840909091
AR,BPA_CID6623__prepared_state_008::AR::pose_00078,0.9968127480663589,0.0018912202000829093,9.897,9.897,9.897,9.897,-8.922117781691988,-5.039905179111944,0.0018912202000829093,3.836575802326985,-55.27344862168489,-37.64724541058153,0.6537926348342753,0.0,-32.60734023146959,-8.92400900189207,-0.32878751902186454,-0.5248304577465875,-2.327581843449082,-1.3494868942205354,-4.110117488355119,-0.0,-2.752543840909091
